,Date,TSLA Price,TSLA Percent Change Rate
509,04-16-2018,19.414,96.95995045623218
510,04-17-2018,19.1793,98.79107860306995
511,04-18-2018,19.5567,101.96774647667016
512,04-19-2018,20.0053,102.29384303077718
513,04-20-2018,19.3493,96.72086896972303
514,04-23-2018,18.8913,97.63298930710673
515,04-24-2018,18.8973,100.03176065172859
516,04-25-2018,18.7127,99.02314087197642
517,04-26-2018,19.032,101.70632778807975
518,04-27-2018,19.605,103.0107187894073
519,04-30-2018,19.5933,99.94032134659525
520,05-01-2018,19.9947,102.04865949074428
521,05-02-2018,20.0767,100.41010867879987
522,05-03-2018,18.9633,94.45426788266997
523,05-04-2018,19.606,103.38917804390586
524,05-07-2018,20.1847,102.95164745486073
525,05-08-2018,20.1313,99.73544318221226
526,05-09-2018,20.4567,101.61638841008778
527,05-10-2018,20.3347,99.40361837442012
528,05-11-2018,20.0707,98.70172660526094
529,05-14-2018,19.4647,96.98067331981447
530,05-15-2018,18.9453,97.33157973151395
531,05-16-2018,19.0987,100.80969950330689
532,05-17-2018,18.9693,99.32246697419195
533,05-18-2018,18.4547,97.28719562661774
534,05-21-2018,18.966,102.77056793120454
535,05-22-2018,18.334,96.66772118527891
536,05-23-2018,18.6047,101.47649176393587
537,05-24-2018,18.5233,99.5624761485001
538,05-25-2018,18.59,100.36008702553
539,05-29-2018,18.9173,101.76062399139323
540,05-30-2018,19.448,102.80536863082999
541,05-31-2018,18.982,97.60386672151378
542,06-01-2018,19.4547,102.49025392477083
543,06-04-2018,19.7827,101.68596791520814
544,06-05-2018,19.4087,98.10945927502314
545,06-06-2018,21.30,109.74459907155038
546,06-07-2018,21.0727,98.93286384976527
547,06-08-2018,21.1773,100.49637682878793
548,06-11-2018,22.14,104.54590528537634
549,06-12-2018,22.8513,103.21273712737127
550,06-13-2018,22.9853,100.58639989847404
551,06-14-2018,23.848,103.75326839327745
552,06-15-2018,23.878,100.12579671251258
553,06-18-2018,24.722,103.53463439149009
554,06-19-2018,23.5033,95.07038265512499
555,06-20-2018,24.148,102.74301906540784
556,06-21-2018,23.1673,95.93879410303131
557,06-22-2018,22.242,96.00600846883323
558,06-25-2018,22.2007,99.81431525941912
559,06-26-2018,22.80,102.6994644313017
560,06-27-2018,22.9667,100.73114035087718
561,06-28-2018,23.3287,101.57619509986198
562,06-29-2018,22.8633,98.00503242786782
563,07-02-2018,22.338,97.7024314075396
564,07-03-2018,20.724,92.77464410421703
565,07-05-2018,20.6107,99.45329087048833
566,07-06-2018,20.5933,99.91557783093246
567,07-09-2018,21.234,103.11120607187776
568,07-10-2018,21.498,101.24328906470754
569,07-11-2018,21.264,98.91152665364218
570,07-12-2018,21.114,99.29458239277653
571,07-13-2018,21.258,100.68201193520885
572,07-16-2018,20.6733,97.2495060683037
573,07-17-2018,21.5127,104.0603096747979
574,07-18-2018,21.59,100.35932263267743
575,07-19-2018,21.3487,98.88235294117648
576,07-20-2018,20.9053,97.92305854689045
577,07-23-2018,20.2133,96.68983463523604
578,07-24-2018,19.8287,98.09729237680142
579,07-25-2018,20.5827,103.8025690035151
580,07-26-2018,20.4433,99.32273219742794
581,07-27-2018,19.812,96.91194670136426
582,07-30-2018,19.3447,97.64132848778517
583,07-31-2018,19.876,102.74648870233192
584,08-01-2018,20.056,100.90561481183336
585,08-02-2018,23.3027,116.18817311527722
586,08-03-2018,23.2113,99.60777077334386
587,08-06-2018,22.7993,98.22500247724167
588,08-07-2018,25.3047,110.98893387077675
589,08-08-2018,24.6893,97.5680407197082
590,08-09-2018,23.4967,95.16956738344142
591,08-10-2018,23.6993,100.86224874131263
592,08-13-2018,23.7607,100.25907938209144
593,08-14-2018,23.176,97.53921391204804
594,08-15-2018,22.5793,97.42535381429065
595,08-16-2018,22.3633,99.0433715837072
596,08-17-2018,20.3667,91.07197953790363
597,08-20-2018,20.5627,100.96235521709455
598,08-21-2018,21.46,104.36372655341954
599,08-22-2018,21.4427,99.91938490214352
600,08-23-2018,21.34,99.52104912161249
601,08-24-2018,21.5213,100.84957825679474
602,08-27-2018,21.2847,98.90062403293481
603,08-28-2018,20.7907,97.67908403689034
604,08-29-2018,20.334,97.80334476472653
605,08-30-2018,20.21,99.39018392839579
606,08-31-2018,20.1107,99.50865907966353
607,09-04-2018,19.2633,95.78632270383427
608,09-05-2018,18.716,97.15884609594411
609,09-06-2018,18.73,100.07480230818551
610,09-07-2018,17.5493,93.69620928990923
611,09-10-2018,19.0333,108.45617773928306
612,09-11-2018,18.6293,97.87740433871163
613,09-12-2018,19.3693,103.97223728213083
614,09-13-2018,19.2973,99.62827773848308
615,09-14-2018,19.68,101.98317899395252
616,09-17-2018,19.656,99.8780487804878
617,09-18-2018,18.9973,96.6488603988604
618,09-19-2018,19.9347,104.93438541266391
619,09-20-2018,19.8887,99.76924659011674
620,09-21-2018,19.94,100.25793541055977
621,09-24-2018,19.9787,100.19408224674022
622,09-25-2018,20.066,100.43696536811704
623,09-26-2018,20.6387,102.85408153094788
624,09-27-2018,20.5013,99.33426039430778
625,09-28-2018,17.6513,86.09844253779028
626,10-01-2018,20.7133,117.34716423152969
627,10-02-2018,20.068,96.88461037111422
628,10-03-2018,19.6533,97.93352601156069
629,10-04-2018,18.7887,95.6007388072232
630,10-05-2018,17.4633,92.94575995146019
631,10-08-2018,16.704,95.65202453144595
632,10-09-2018,17.52,104.88505747126436
633,10-10-2018,17.1253,97.74714611872146
634,10-11-2018,16.8153,98.1898127332076
635,10-12-2018,17.252,102.59703960083971
636,10-15-2018,17.306,100.31300718757248
637,10-16-2018,18.4393,106.54859586270658
638,10-17-2018,18.1187,98.2613222844685
639,10-18-2018,17.594,97.10409687229216
640,10-19-2018,17.3333,98.51824485620098
641,10-22-2018,17.3967,100.36576993417295
642,10-23-2018,19.6093,112.7185040841079
643,10-24-2018,19.2333,98.0825424670947
644,10-25-2018,20.9907,109.13727753427649
645,10-26-2018,22.06,105.09416074737858
646,10-29-2018,22.3233,101.19356300997279
647,10-30-2018,21.9933,98.52172393866499
648,10-31-2018,22.488,102.24932138423975
649,11-01-2018,22.952,102.06332266097475
650,11-02-2018,23.094,100.6186824677588
651,11-05-2018,22.76,98.55373690135967
652,11-06-2018,22.7373,99.90026362038664
653,11-07-2018,23.2107,102.08204140333284
654,11-08-2018,23.4267,100.93060528118498
655,11-09-2018,23.3673,99.74644316100859
656,11-12-2018,22.0853,94.51370076987928
657,11-13-2018,22.582,102.24900725822152
658,11-14-2018,22.9333,101.55566380302896
659,11-15-2018,23.2293,101.29069955043539
660,11-16-2018,23.6207,101.6849410012355
661,11-19-2018,23.5647,99.76291981185993
662,11-20-2018,23.166,98.3080624832907
663,11-21-2018,22.546,97.32366399033066
664,11-23-2018,21.722,96.34524971170053
665,11-26-2018,23.0667,106.19049811251267
666,11-27-2018,22.928,99.39870029089553
667,11-28-2018,23.1913,101.14837752965803
668,11-29-2018,22.7447,98.07427785419533
669,11-30-2018,23.3653,102.72854774958562
670,12-03-2018,23.8993,102.28544037525734
671,12-04-2018,23.98,100.33766679358808
672,12-06-2018,24.204,100.93411175979983
673,12-07-2018,23.8643,98.5965129730623
674,12-10-2018,24.3433,102.00718227645478
675,12-11-2018,24.4507,100.44118915677005
676,12-12-2018,24.44,99.9562384717002
677,12-13-2018,25.1193,102.77945990180031
678,12-14-2018,24.3807,97.05963143877418
679,12-17-2018,23.228,95.27207996489027
680,12-18-2018,22.4687,96.73110039607369
681,12-19-2018,22.198,98.79521289616223
682,12-20-2018,21.0253,94.71709162987658
683,12-21-2018,21.318,101.39213233580494
684,12-24-2018,19.6927,92.37592644713386
685,12-26-2018,21.7393,110.39268358325675
686,12-27-2018,21.0753,96.94562382413416
687,12-28-2018,22.258,105.61178251317894
688,12-31-2018,22.1867,99.67966573816156
689,01-02-2019,20.6747,93.18510639256854
690,01-03-2019,20.024,96.85267500858536
691,01-04-2019,21.1793,105.76957650819017
692,01-07-2019,22.3307,105.43644029783799
693,01-08-2019,22.3567,100.11643163895445
694,01-09-2019,22.5687,100.94826159495811
695,01-10-2019,22.998,101.90219197383988
696,01-11-2019,23.1507,100.66397078006784
697,01-14-2019,22.2933,96.29644028042348
698,01-15-2019,22.962,102.99955592038866
699,01-16-2019,23.07,100.47034230467729
700,01-17-2019,23.154,100.36410923276983
701,01-18-2019,20.1507,87.02902306296969
702,01-22-2019,19.928,98.89482747497605
703,01-23-2019,19.1727,96.20985547972701
704,01-24-2019,19.434,101.36287533837177
705,01-25-2019,19.8027,101.89719049089226
706,01-28-2019,19.7587,99.77780807667641
707,01-29-2019,19.8307,100.36439644308584
708,01-30-2019,20.5847,103.8021855002597
709,01-31-2019,20.468,99.4330740792919
710,02-01-2019,20.814,101.69044361930818
711,02-04-2019,20.8593,100.21764197174979
712,02-05-2019,21.4233,102.70382994635487
713,02-06-2019,21.148,98.71495054450061
714,02-07-2019,20.5007,96.93919046718365
715,02-08-2019,20.3867,99.44392142707324
716,02-11-2019,20.856,102.30199100393884
717,02-12-2019,20.7873,99.6705983889528
718,02-13-2019,20.5447,98.83294126702363
719,02-14-2019,20.2513,98.57189445453086
720,02-15-2019,20.5253,101.35299956052204
721,02-19-2019,20.376,99.27260502891554
722,02-20-2019,20.1707,98.99244208873183
723,02-21-2019,19.4153,96.2549638832564
724,02-22-2019,19.6473,101.19493389234265
725,02-25-2019,19.918,101.3777974581749
726,02-26-2019,19.8573,99.69525052716136
727,02-27-2019,20.9827,105.66743716416633
728,02-28-2019,21.3253,101.63277366592479
729,03-01-2019,19.6527,92.15673402015446
730,03-04-2019,19.024,96.80094847018476
731,03-05-2019,18.436,96.90916736753574
732,03-06-2019,18.416,99.89151659796052
733,03-07-2019,18.4393,100.12652041702867
734,03-08-2019,18.9427,102.73003855894747
735,03-11-2019,19.3947,102.38614347479505
736,03-12-2019,18.8907,97.40135191572955
737,03-13-2019,19.264,101.97610464408413
738,03-14-2019,19.3307,100.34624169435216
739,03-15-2019,18.362,94.98880019864774
740,03-18-2019,17.966,97.84337218167957
741,03-19-2019,17.8313,99.25025047311587
742,03-20-2019,18.24,102.29203703599849
743,03-21-2019,18.268,100.15350877192984
744,03-22-2019,17.6353,96.53656667396541
745,03-25-2019,17.3613,98.44629804993393
746,03-26-2019,17.8513,102.8223692926221
747,03-27-2019,18.322,102.63678275531754
748,03-28-2019,18.5747,101.37921624276827
749,03-29-2019,18.6573,100.44469089675741
750,04-01-2019,19.2787,103.33059981883767
751,04-02-2019,19.0587,98.85884421667437
752,04-03-2019,19.454,102.07411838163148
753,04-04-2019,17.852,91.76518967821528
754,04-05-2019,18.3307,102.6814922697737
755,04-08-2019,18.2133,99.35954437091873
756,04-09-2019,18.154,99.67441375258738
757,04-10-2019,18.404,101.37710697366971
758,04-11-2019,17.8947,97.23266681156271
