Date, Open, High, Low, Close
02/03/25, 1663.43, 1663.43, 1663.43, 1663.43
01/31/25, 1650.56, 1650.56, 1650.56, 1650.56
01/30/25, 1656.50, 1656.50, 1656.50, 1656.50
01/29/25, 1626.40, 1626.40, 1626.40, 1626.40
01/28/25, 1627.04, 1627.04, 1627.04, 1627.04
01/27/25, 1610.50, 1610.50, 1610.50, 1610.50
01/24/25, 1634.02, 1634.02, 1634.02, 1634.02
01/23/25, 1625.47, 1625.47, 1625.47, 1625.47
01/22/25, 1628.67, 1628.67, 1628.67, 1628.67
01/21/25, 1621.80, 1621.80, 1621.80, 1621.80
01/17/25, 1615.63, 1615.63, 1615.63, 1615.63
01/16/25, 1616.50, 1616.50, 1616.50, 1616.50
01/15/25, 1597.52, 1597.52, 1597.52, 1597.52
01/14/25, 1577.84, 1577.84, 1577.84, 1577.84
01/13/25, 1572.31, 1572.31, 1572.31, 1572.31
01/10/25, 1590.34, 1590.34, 1590.34, 1590.34
01/08/25, 1558.91, 1558.91, 1558.91, 1558.91
01/07/25, 1551.82, 1551.82, 1551.82, 1551.82
01/06/25, 1541.34, 1541.34, 1541.34, 1541.34
01/03/25, 1545.59, 1545.59, 1545.59, 1545.59
01/02/25, 1553.91, 1553.91, 1553.91, 1553.91
12/31/24, 1537.61, 1537.61, 1537.61, 1537.61
12/30/24, 1524.28, 1524.28, 1524.28, 1524.28
12/27/24, 1532.31, 1532.31, 1532.31, 1532.31
12/26/24, 1545.12, 1545.12, 1545.12, 1545.12
12/24/24, 1534.41, 1534.41, 1534.41, 1534.41
12/23/24, 1530.16, 1530.16, 1530.16, 1530.16
12/20/24, 1540.00, 1540.00, 1540.00, 1540.00
12/19/24, 1518.46, 1518.46, 1518.46, 1518.46
12/18/24, 1544.77, 1544.77, 1544.77, 1544.77
12/17/24, 1549.84, 1549.84, 1549.84, 1549.84
12/16/24, 1554.49, 1554.49, 1554.49, 1554.49
12/13/24, 1557.87, 1557.87, 1557.87, 1557.87
12/12/24, 1577.43, 1577.43, 1577.43, 1577.43
12/11/24, 1604.97, 1604.97, 1604.97, 1604.97
12/10/24, 1582.67, 1582.67, 1582.67, 1582.67
12/09/24, 1563.69, 1563.69, 1563.69, 1563.69
12/06/24, 1548.44, 1548.44, 1548.44, 1548.44
12/05/24, 1541.92, 1541.92, 1541.92, 1541.92
12/04/24, 1558.10, 1558.10, 1558.10, 1558.10
12/03/24, 1553.27, 1553.27, 1553.27, 1553.27
12/02/24, 1547.80, 1547.80, 1547.80, 1547.80
11/29/24, 1560.90, 1560.90, 1560.90, 1560.90
11/27/24, 1551.47, 1551.47, 1551.47, 1551.47
11/26/24, 1540.70, 1540.70, 1540.70, 1540.70
11/25/24, 1538.54, 1538.54, 1538.54, 1538.54
11/22/24, 1593.62, 1593.62, 1593.62, 1593.62
11/21/24, 1571.55, 1571.55, 1571.55, 1571.55
11/20/24, 1557.76, 1557.76, 1557.76, 1557.76
11/19/24, 1545.53, 1545.53, 1545.53, 1545.53
11/18/24, 1535.98, 1535.98, 1535.98, 1535.98
11/15/24, 1510.01, 1510.01, 1510.01, 1510.01
11/14/24, 1511.64, 1511.64, 1511.64, 1511.64
11/13/24, 1519.74, 1519.74, 1519.74, 1519.74
11/12/24, 1528.59, 1528.59, 1528.59, 1528.59
11/11/24, 1532.43, 1532.43, 1532.43, 1532.43
11/08/24, 1574.69, 1574.69, 1574.69, 1574.69
11/07/24, 1578.23, 1578.23, 1578.23, 1578.23
11/06/24, 1558.16, 1558.16, 1558.16, 1558.16
11/05/24, 1600.90, 1600.90, 1600.90, 1600.90
11/04/24, 1598.86, 1598.86, 1598.86, 1598.86
11/01/24, 1600.61, 1600.61, 1600.61, 1600.61
10/31/24, 1600.66, 1600.66, 1600.66, 1600.66
10/30/24, 1630.65, 1630.65, 1630.65, 1630.65
10/29/24, 1619.18, 1619.18, 1619.18, 1619.18
10/28/24, 1604.51, 1604.51, 1604.51, 1604.51
10/25/24, 1603.75, 1603.75, 1603.75, 1603.75
10/24/24, 1600.43, 1600.43, 1600.43, 1600.43
10/23/24, 1589.08, 1589.08, 1589.08, 1589.08
10/22/24, 1606.78, 1606.78, 1606.78, 1606.78
10/21/24, 1594.61, 1594.61, 1594.61, 1594.61
10/18/24, 1589.43, 1589.43, 1589.43, 1589.43
10/17/24, 1576.33, 1576.33, 1576.33, 1576.33
10/16/24, 1566.90, 1566.90, 1566.90, 1566.90
10/15/24, 1559.68, 1559.68, 1559.68, 1559.68
10/14/24, 1551.93, 1551.93, 1551.93, 1551.93
10/11/24, 1558.16, 1558.16, 1558.16, 1558.16
10/10/24, 1536.62, 1536.62, 1536.62, 1536.62
10/09/24, 1528.88, 1528.88, 1528.88, 1528.88
10/08/24, 1534.35, 1534.35, 1534.35, 1534.35
10/07/24, 1552.17, 1552.17, 1552.17, 1552.17
10/04/24, 1553.21, 1553.21, 1553.21, 1553.21
10/03/24, 1559.85, 1559.85, 1559.85, 1559.85
10/02/24, 1554.32, 1554.32, 1554.32, 1554.32
10/01/24, 1566.31, 1566.31, 1566.31, 1566.31
09/30/24, 1548.32, 1548.32, 1548.32, 1548.32
09/27/24, 1553.39, 1553.39, 1553.39, 1553.39
09/26/24, 1568.99, 1568.99, 1568.99, 1568.99
09/25/24, 1563.05, 1563.05, 1563.05, 1563.05
09/24/24, 1558.57, 1558.57, 1558.57, 1558.57
09/23/24, 1544.31, 1544.31, 1544.31, 1544.31
09/20/24, 1540.64, 1540.64, 1540.64, 1540.64
09/19/24, 1522.24, 1522.24, 1522.24, 1522.24
09/18/24, 1512.92, 1512.92, 1512.92, 1512.92
09/17/24, 1509.32, 1509.32, 1509.32, 1509.32
09/16/24, 1518.92, 1518.92, 1518.92, 1518.92
09/13/24, 1519.97, 1519.97, 1519.97, 1519.97
09/12/24, 1502.44, 1502.44, 1502.44, 1502.44
09/11/24, 1480.20, 1480.20, 1480.20, 1480.20
09/10/24, 1480.61, 1480.61, 1480.61, 1480.61
09/09/24, 1474.56, 1474.56, 1474.56, 1474.56
09/06/24, 1469.84, 1469.84, 1469.84, 1469.84
09/05/24, 1480.61, 1480.61, 1480.61, 1480.61
09/04/24, 1470.66, 1470.66, 1470.66, 1470.66
09/03/24, 1468.91, 1468.91, 1468.91, 1468.91
08/30/24, 1471.59, 1471.59, 1471.59, 1471.59
08/29/24, 1490.63, 1490.63, 1490.63, 1490.63
08/28/24, 1477.53, 1477.53, 1477.53, 1477.53
08/27/24, 1486.32, 1486.32, 1486.32, 1486.32
08/26/24, 1487.66, 1487.66, 1487.66, 1487.66
08/23/24, 1482.48, 1482.48, 1482.48, 1482.48
08/22/24, 1465.24, 1465.24, 1465.24, 1465.24
08/21/24, 1483.17, 1483.17, 1483.17, 1483.17
08/20/24, 1484.98, 1484.98, 1484.98, 1484.98
08/19/24, 1479.57, 1479.57, 1479.57, 1479.57
08/16/24, 1477.53, 1477.53, 1477.53, 1477.53
08/15/24, 1451.10, 1451.10, 1451.10, 1451.10
08/14/24, 1443.70, 1443.70, 1443.70, 1443.70
08/13/24, 1460.06, 1460.06, 1460.06, 1460.06
08/12/24, 1457.85, 1457.85, 1457.85, 1457.85
08/09/24, 1440.03, 1440.03, 1440.03, 1440.03
08/08/24, 1434.15, 1434.15, 1434.15, 1434.15
08/07/24, 1416.16, 1416.16, 1416.16, 1416.16
08/06/24, 1415.70, 1415.70, 1415.70, 1415.70
08/05/24, 1423.15, 1423.15, 1423.15, 1423.15
08/02/24, 1437.94, 1437.94, 1437.94, 1437.94
08/01/24, 1444.34, 1444.34, 1444.34, 1444.34
07/31/24, 1439.80, 1439.80, 1439.80, 1439.80
07/30/24, 1427.52, 1427.52, 1427.52, 1427.52
07/29/24, 1412.14, 1412.14, 1412.14, 1412.14
07/26/24, 1413.54, 1413.54, 1413.54, 1413.54
07/25/24, 1397.24, 1397.24, 1397.24, 1397.24
07/24/24, 1434.56, 1434.56, 1434.56, 1434.56
07/23/24, 1429.44, 1429.44, 1429.44, 1429.44
07/22/24, 1421.81, 1421.81, 1421.81, 1421.81
07/19/24, 1424.55, 1424.55, 1424.55, 1424.55
07/18/24, 1458.66, 1458.66, 1458.66, 1458.66
07/17/24, 1460.76, 1460.76, 1460.76, 1460.76
07/16/24, 1465.24, 1465.24, 1465.24, 1465.24
07/15/24, 1442.30, 1442.30, 1442.30, 1442.30
07/12/24, 1437.47, 1437.47, 1437.47, 1437.47
07/11/24, 1432.41, 1432.41, 1432.41, 1432.41
07/10/24, 1402.07, 1402.07, 1402.07, 1402.07
07/09/24, 1389.63, 1389.63, 1389.63, 1389.63
07/08/24, 1381.58, 1381.58, 1381.58, 1381.58
07/05/24, 1395.96, 1395.96, 1395.96, 1395.96
07/03/24, 1379.48, 1379.48, 1379.48, 1379.48
07/02/24, 1358.52, 1358.52, 1358.52, 1358.52
07/01/24, 1361.73, 1361.73, 1361.73, 1361.73
06/28/24, 1362.13, 1362.13, 1362.13, 1362.13
06/27/24, 1360.39, 1360.39, 1360.39, 1360.39
06/26/24, 1346.76, 1346.76, 1346.76, 1346.76
06/25/24, 1357.01, 1357.01, 1357.01, 1357.01
06/24/24, 1364.93, 1364.93, 1364.93, 1364.93
06/21/24, 1357.24, 1357.24, 1357.24, 1357.24
06/20/24, 1379.25, 1379.25, 1379.25, 1379.25
06/18/24, 1366.38, 1366.38, 1366.38, 1366.38
06/17/24, 1355.96, 1355.96, 1355.96, 1355.96
06/14/24, 1367.66, 1367.66, 1367.66, 1367.66
06/13/24, 1349.56, 1349.56, 1349.56, 1349.56
06/12/24, 1370.98, 1370.98, 1370.98, 1370.98
06/11/24, 1354.57, 1354.57, 1354.57, 1354.57
06/10/24, 1354.80, 1354.80, 1354.80, 1354.80
06/07/24, 1353.63, 1353.63, 1353.63, 1353.63
06/06/24, 1392.00, 1392.00, 1392.00, 1392.00
06/05/24, 1383.04, 1383.04, 1383.04, 1383.04
06/04/24, 1366.67, 1366.67, 1366.67, 1366.67
06/03/24, 1379.42, 1379.42, 1379.42, 1379.42
05/31/24, 1365.74, 1365.74, 1365.74, 1365.74
05/30/24, 1377.80, 1377.80, 1377.80, 1377.80
05/29/24, 1376.40, 1376.40, 1376.40, 1376.40
05/28/24, 1385.25, 1385.25, 1385.25, 1385.25
05/24/24, 1372.21, 1372.21, 1372.21, 1372.21
05/23/24, 1373.84, 1373.84, 1373.84, 1373.84
05/22/24, 1406.44, 1406.44, 1406.44, 1406.44
05/21/24, 1425.88, 1425.88, 1425.88, 1425.88
05/20/24, 1433.22, 1433.22, 1433.22, 1433.22
05/17/24, 1420.82, 1420.82, 1420.82, 1420.82
05/16/24, 1402.13, 1402.13, 1402.13, 1402.13
05/15/24, 1407.55, 1407.55, 1407.55, 1407.55
05/14/24, 1387.11, 1387.11, 1387.11, 1387.11
05/13/24, 1377.33, 1377.33, 1377.33, 1377.33
05/10/24, 1393.32, 1393.32, 1393.32, 1393.32
05/09/24, 1370.37, 1370.37, 1370.37, 1370.37
05/08/24, 1357.30, 1357.30, 1357.30, 1357.30
05/07/24, 1355.78, 1355.78, 1355.78, 1355.78
05/06/24, 1357.24, 1357.24, 1357.24, 1357.24
05/03/24, 1344.09, 1344.09, 1344.09, 1344.09
05/02/24, 1344.67, 1344.67, 1344.67, 1344.67
05/01/24, 1345.48, 1345.48, 1345.48, 1345.48
04/30/24, 1340.77, 1340.77, 1340.77, 1340.77
04/29/24, 1372.67, 1372.67, 1372.67, 1372.67
04/26/24, 1366.56, 1366.56, 1366.56, 1366.56
04/25/24, 1363.82, 1363.82, 1363.82, 1363.82
04/24/24, 1361.43, 1361.43, 1361.43, 1361.43
04/23/24, 1363.59, 1363.59, 1363.59, 1363.59
04/22/24, 1366.09, 1366.09, 1366.09, 1366.09
04/19/24, 1405.33, 1405.33, 1405.33, 1405.33
04/18/24, 1396.13, 1396.13, 1396.13, 1396.13
04/17/24, 1390.55, 1390.55, 1390.55, 1390.55
04/16/24, 1401.84, 1401.84, 1401.84, 1401.84
04/15/24, 1387.40, 1387.40, 1387.40, 1387.40
04/12/24, 1382.22, 1382.22, 1382.22, 1382.22
04/11/24, 1381.40, 1381.40, 1381.40, 1381.40
04/10/24, 1367.26, 1367.26, 1367.26, 1367.26
04/09/24, 1375.41, 1375.41, 1375.41, 1375.41
04/08/24, 1368.77, 1368.77, 1368.77, 1368.77
04/05/24, 1365.51, 1365.51, 1365.51, 1365.51
04/04/24, 1344.03, 1344.03, 1344.03, 1344.03
04/03/24, 1347.81, 1347.81, 1347.81, 1347.81
04/02/24, 1328.48, 1328.48, 1328.48, 1328.48
04/01/24, 1314.10, 1314.10, 1314.10, 1314.10
03/28/24, 1303.21, 1303.21, 1303.21, 1303.21
03/27/24, 1288.25, 1288.25, 1288.25, 1288.25
03/26/24, 1280.39, 1280.39, 1280.39, 1280.39
03/25/24, 1279.81, 1279.81, 1279.81, 1279.81
03/22/24, 1270.14, 1270.14, 1270.14, 1270.14
03/21/24, 1284.64, 1284.64, 1284.64, 1284.64
03/20/24, 1270.61, 1270.61, 1270.61, 1270.61
03/19/24, 1269.91, 1269.91, 1269.91, 1269.91
03/18/24, 1272.65, 1272.65, 1272.65, 1272.65
03/15/24, 1271.02, 1271.02, 1271.02, 1271.02
03/14/24, 1274.51, 1274.51, 1274.51, 1274.51
03/13/24, 1282.25, 1282.25, 1282.25, 1282.25
03/12/24, 1271.18, 1271.18, 1271.18, 1271.18
03/11/24, 1281.70, 1281.70, 1281.70, 1281.70
03/08/24, 1277.26, 1277.26, 1277.26, 1277.26
03/07/24, 1263.01, 1263.01, 1263.01, 1263.01
03/06/24, 1256.52, 1256.52, 1256.52, 1256.52
03/05/24, 1247.03, 1247.03, 1247.03, 1247.03
03/04/24, 1237.95, 1237.95, 1237.95, 1237.95
03/01/24, 1220.13, 1220.13, 1220.13, 1220.13
02/29/24, 1196.26, 1196.26, 1196.26, 1196.26
02/28/24, 1189.28, 1189.28, 1189.28, 1189.28
02/27/24, 1190.09, 1190.09, 1190.09, 1190.09
02/26/24, 1187.06, 1187.06, 1187.06, 1187.06
02/23/24, 1193.18, 1193.18, 1193.18, 1193.18
02/22/24, 1182.29, 1182.29, 1182.29, 1182.29
02/21/24, 1184.38, 1184.38, 1184.38, 1184.38
02/20/24, 1187.59, 1187.59, 1187.59, 1187.59
02/16/24, 1178.45, 1178.45, 1178.45, 1178.45
02/15/24, 1173.09, 1173.09, 1173.09, 1173.09
02/14/24, 1166.92, 1166.92, 1166.92, 1166.92
02/13/24, 1168.61, 1168.61, 1168.61, 1168.61
02/12/24, 1183.63, 1183.63, 1183.63, 1183.63
02/09/24, 1186.95, 1186.95, 1186.95, 1186.95
02/08/24, 1192.30, 1192.30, 1192.30, 1192.30
02/07/24, 1194.52, 1194.52, 1194.52, 1194.52
02/06/24, 1194.34, 1194.34, 1194.34, 1194.34
02/05/24, 1189.39, 1189.39, 1189.39, 1189.39
02/02/24, 1195.68, 1195.68, 1195.68, 1195.68
02/01/24, 1205.81, 1205.81, 1205.81, 1205.81
01/31/24, 1203.66, 1203.66, 1203.66, 1203.66
01/30/24, 1194.05, 1194.05, 1194.05, 1194.05
01/29/24, 1190.38, 1190.38, 1190.38, 1190.38
01/26/24, 1185.43, 1185.43, 1185.43, 1185.43
01/25/24, 1185.84, 1185.84, 1185.84, 1185.84
01/24/24, 1184.91, 1184.91, 1184.91, 1184.91
01/23/24, 1190.73, 1190.73, 1190.73, 1190.73
01/22/24, 1188.63, 1188.63, 1188.63, 1188.63
01/19/24, 1192.71, 1192.71, 1192.71, 1192.71
01/18/24, 1188.34, 1188.34, 1188.34, 1188.34
01/17/24, 1179.55, 1179.55, 1179.55, 1179.55
01/16/24, 1193.47, 1193.47, 1193.47, 1193.47
01/12/24, 1205.98, 1205.98, 1205.98, 1205.98
01/11/24, 1184.82, 1184.82, 1184.82, 1184.82
01/10/24, 1187.59, 1187.59, 1187.59, 1187.59
01/09/24, 1188.29, 1188.29, 1188.29, 1188.29
01/08/24, 1186.24, 1186.24, 1186.24, 1186.24
01/05/24, 1193.41, 1193.41, 1193.41, 1193.41
01/04/24, 1193.53, 1193.53, 1193.53, 1193.53
01/03/24, 1189.33, 1189.33, 1189.33, 1189.33
01/02/24, 1207.15, 1207.15, 1207.15, 1207.15
12/29/23, 1206.22, 1206.22, 1206.22, 1206.22
12/28/23, 1213.03, 1213.03, 1213.03, 1213.03
12/27/23, 1218.62, 1218.62, 1218.62, 1218.62
12/26/23, 1205.05, 1205.05, 1205.05, 1205.05
12/22/23, 1204.65, 1204.65, 1204.65, 1204.65
12/21/23, 1194.28, 1194.28, 1194.28, 1194.28
12/20/23, 1192.19, 1192.19, 1192.19, 1192.19
12/19/23, 1194.75, 1194.75, 1194.75, 1194.75
12/18/23, 1187.99, 1187.99, 1187.99, 1187.99
12/15/23, 1185.20, 1185.20, 1185.20, 1185.20
12/14/23, 1190.56, 1190.56, 1190.56, 1190.56
12/13/23, 1162.84, 1162.84, 1162.84, 1162.84
12/12/23, 1160.46, 1160.46, 1160.46, 1160.46
12/11/23, 1160.75, 1160.75, 1160.75, 1160.75
12/08/23, 1172.86, 1172.86, 1172.86, 1172.86
12/07/23, 1191.43, 1191.43, 1191.43, 1191.43
12/06/23, 1192.30, 1192.30, 1192.30, 1192.30
12/05/23, 1185.55, 1185.55, 1185.55, 1185.55
12/04/23, 1188.98, 1188.98, 1188.98, 1188.98
12/01/23, 1216.64, 1216.64, 1216.64, 1216.64
11/30/23, 1197.72, 1197.72, 1197.72, 1197.72
11/29/23, 1203.48, 1203.48, 1203.48, 1203.48
11/28/23, 1199.46, 1199.46, 1199.46, 1199.46
11/27/23, 1183.63, 1183.63, 1183.63, 1183.63
11/24/23, 1178.10, 1178.10, 1178.10, 1178.10
11/22/23, 1172.10, 1172.10, 1172.10, 1172.10
11/21/23, 1177.11, 1177.11, 1177.11, 1177.11
11/20/23, 1164.65, 1164.65, 1164.65, 1164.65
11/17/23, 1167.21, 1167.21, 1167.21, 1167.21
11/16/23, 1168.78, 1168.78, 1168.78, 1168.78
11/15/23, 1155.28, 1155.28, 1155.28, 1155.28
11/14/23, 1156.50, 1156.50, 1156.50, 1156.50
11/13/23, 1147.07, 1147.07, 1147.07, 1147.07
11/10/23, 1137.46, 1137.46, 1137.46, 1137.46
11/09/23, 1153.86, 1153.86, 1153.86, 1153.86
11/08/23, 1144.57, 1144.57, 1144.57, 1144.57
11/07/23, 1151.35, 1151.35, 1151.35, 1151.35
11/06/23, 1157.78, 1157.78, 1157.78, 1157.78
11/03/23, 1163.95, 1163.95, 1163.95, 1163.95
11/02/23, 1160.63, 1160.63, 1160.63, 1160.63
11/01/23, 1157.14, 1157.14, 1157.14, 1157.14
10/31/23, 1161.10, 1161.10, 1161.10, 1161.10
10/30/23, 1167.68, 1167.68, 1167.68, 1167.68
10/27/23, 1163.54, 1163.54, 1163.54, 1163.54
10/26/23, 1162.90, 1162.90, 1162.90, 1162.90
10/25/23, 1161.45, 1161.45, 1161.45, 1161.45
10/24/23, 1156.32, 1156.32, 1156.32, 1156.32
10/23/23, 1157.31, 1157.31, 1157.31, 1157.31
10/20/23, 1161.15, 1161.15, 1161.15, 1161.15
10/19/23, 1153.06, 1153.06, 1153.06, 1153.06
10/18/23, 1145.96, 1145.96, 1145.96, 1145.96
10/17/23, 1126.98, 1126.98, 1126.98, 1126.98
10/16/23, 1126.16, 1126.16, 1126.16, 1126.16
10/13/23, 1130.36, 1130.36, 1130.36, 1130.36
10/12/23, 1096.30, 1096.30, 1096.30, 1096.30
10/11/23, 1098.80, 1098.80, 1098.80, 1098.80
10/10/23, 1091.81, 1091.81, 1091.81, 1091.81
10/09/23, 1085.41, 1085.41, 1085.41, 1085.41
10/06/23, 1074.29, 1074.29, 1074.29, 1074.29
10/05/23, 1066.49, 1066.49, 1066.49, 1066.49
10/04/23, 1068.23, 1068.23, 1068.23, 1068.23
