,Date,MSFT Price,MSFT Percent Change Rate
1108,08-31-2020,225.53,98.52343715870866
1109,09-01-2020,227.27,100.77151598456967
1110,09-02-2020,231.65,101.92722312667752
1111,09-03-2020,217.3,93.80530973451327
1112,09-04-2020,214.25,98.5964104924068
1113,09-08-2020,202.66,94.59043173862311
1114,09-09-2020,211.29,104.25836376196584
1115,09-10-2020,205.37,97.19816366131857
1116,09-11-2020,204.03,99.3475191118469
1117,09-14-2020,205.41,100.67637112189382
1118,09-15-2020,208.78,101.64062119663113
1119,09-16-2020,205.05,98.21343040521123
1120,09-17-2020,202.91,98.95635210924164
1121,09-18-2020,200.39,98.75807008033118
1122,09-21-2020,202.54,101.07290782973202
1123,09-22-2020,207.42,102.40940061222474
1124,09-23-2020,200.59,96.70716420788739
1125,09-24-2020,203.19,101.29617627997408
1126,09-25-2020,207.82,102.278655445642
1127,09-28-2020,209.44,100.77952073910114
1128,09-29-2020,207.26,98.95912910618793
1129,09-30-2020,210.33,101.48123130367654
1130,10-01-2020,212.46,101.01269433746968
1131,10-02-2020,206.19,97.0488562552951
1132,10-05-2020,210.38,102.03210630971434
1133,10-06-2020,205.91,97.87527331495389
1134,10-07-2020,209.83,101.90374435432956
1135,10-08-2020,210.58,100.35743220702473
1136,10-09-2020,215.81,102.48361667774716
1137,10-12-2020,221.4,102.59024141606044
1138,10-13-2020,222.86,100.6594399277326
1139,10-14-2020,220.86,99.10257560800503
1140,10-15-2020,219.66,99.45666938331973
1141,10-16-2020,219.66,100.0
1142,10-19-2020,214.22,97.52344532459254
1143,10-20-2020,214.65,100.20072822332182
1144,10-21-2020,214.8,100.06988120195668
1145,10-22-2020,214.89,100.04189944134076
1146,10-23-2020,216.23,100.62357485225
1147,10-26-2020,210.08,97.15580631734728
1148,10-27-2020,213.25,101.50894897182026
1149,10-28-2020,202.68,95.04337631887456
1150,10-29-2020,204.72,101.0065127294257
1151,10-30-2020,202.47,98.90093786635404
1152,11-02-2020,202.33,99.93085395367216
1153,11-03-2020,206.43,102.02639252705976
1154,11-04-2020,216.39,104.82488010463595
1155,11-05-2020,223.29,103.1886870927492
1156,11-06-2020,223.72,100.192574678669
1157,11-09-2020,218.39,97.61755766136241
1158,11-10-2020,211.01,96.62072439214249
1159,11-11-2020,216.55,102.62546798729919
1160,11-12-2020,215.44,99.48741630108519
1161,11-13-2020,216.51,100.496658002228
1162,11-16-2020,217.23,100.33254815020092
1163,11-17-2020,214.46,98.72485384155044
1164,11-18-2020,211.08,98.42394852186888
1165,11-19-2020,212.42,100.63483039605836
1166,11-20-2020,210.39,99.04434610676961
1167,11-23-2020,210.11,99.86691382670281
1168,11-24-2020,213.86,101.78477940126601
1169,11-25-2020,213.87,100.00467595623303
1170,11-27-2020,215.23,100.6359003132744
1171,11-30-2020,214.07,99.46104167634624
1172,12-01-2020,216.21,100.99967300415753
1173,12-02-2020,215.37,99.61148883030387
1174,12-03-2020,214.24,99.4753215396759
1175,12-04-2020,214.36,100.05601194921583
1176,12-07-2020,214.29,99.96734465385332
1177,12-08-2020,216.01,100.8026506136544
1178,12-09-2020,211.8,98.05101615665941
1179,12-10-2020,210.52,99.39565627950897
1180,12-11-2020,213.26,101.30153904617138
1181,12-14-2020,214.2,100.44077651692768
1182,12-15-2020,214.13,99.9673202614379
1183,12-16-2020,219.28,102.40508102554524
1184,12-17-2020,219.42,100.06384531192995
1185,12-18-2020,218.59,99.6217300154954
1186,12-21-2020,222.59,101.82990987693856
1187,12-22-2020,223.94,100.60649624870838
